image,status,problems,width,height,blur_score,brightness
Deer_103.jpg,PASS,,500,333,3532.66,147.78
Deer_105.jpg,PASS,,375,500,11328.4,121.03
Deer_131.jpg,PASS,,375,500,3440.93,125.56
Deer_138.jpg,PASS,,500,375,7867.83,125.92
Deer_143.jpg,PASS,,375,500,12209.89,116.62
Deer_146.jpg,PASS,,375,500,12240.0,125.57
Deer_150.jpg,PASS,,500,375,3311.6,129.1
Deer_170.jpg,REVIEW_REQUIRED,Very dark,396,500,127.56,18.61
Deer_180.jpg,PASS,,375,500,6202.17,109.19
Deer_187.jpg,PASS,,375,500,6312.38,121.97
Deer_2.jpg,PASS,,500,350,3882.61,126.72
Deer_213.jpg,PASS,,500,375,2398.96,73.49
Deer_227.jpg,PASS,,500,375,3221.11,126.13
Deer_240.jpg,PASS,,500,375,641.59,129.39
Deer_257.jpg,PASS,,281,500,5160.05,123.39
Deer_274.jpg,PASS,,375,500,7448.78,92.92
Deer_278.jpg,PASS,,375,500,9816.83,114.46
Deer_281.jpg,PASS,,375,500,7832.96,115.75
Deer_291.jpg,PASS,,281,500,4258.21,116.91
Deer_307.jpg,PASS,,375,500,1818.98,140.45
Deer_330.jpg,PASS,,281,500,559.28,56.84
Deer_333.jpg,PASS,,500,375,8216.51,82.05
Deer_340.jpg,REVIEW_REQUIRED,Very dark,375,500,270.31,35.05
Deer_341.jpg,REVIEW_REQUIRED,Very dark,375,500,189.95,32.52
Deer_343.jpg,PASS,,375,500,818.63,107.48
Deer_347.jpg,PASS,,375,500,818.63,107.48
Deer_351.jpg,PASS,,375,500,2635.42,135.93
Deer_355.jpg,PASS,,375,500,3942.19,140.43
Deer_362.jpg,PASS,,500,233,1385.9,111.51
Deer_388.jpg,PASS,,500,281,696.9,78.58
Deer_5.jpg,PASS,,500,375,3573.18,170.03
Deer_75.jpg,PASS,,375,500,15262.74,119.57
Fox_107.jpg,PASS,,500,333,1801.42,83.15
Fox_121.jpg,REVIEW_REQUIRED,Severely blurred,500,375,79.42,130.96
Fox_137.jpg,PASS,,375,500,3114.54,81.72
Fox_141.jpg,PASS,,500,281,15449.81,133.13
Fox_143.jpg,PASS,,375,500,5069.19,139.39
Fox_154.jpg,PASS,,500,375,9222.72,111.6
Fox_155.jpg,PASS,,500,375,9169.28,110.59
Fox_156.jpg,PASS,,500,375,6286.36,108.47
Fox_16.jpg,PASS,,500,375,7421.54,103.18
Fox_176.jpg,PASS,,500,375,5027.54,115.38
Fox_179.jpg,PASS,,500,496,84.76,104.68
Fox_181.jpg,PASS,,500,375,2184.27,122.37
Fox_222.jpg,PASS,,500,500,634.27,113.18
Fox_224.jpg,PASS,,375,500,5224.81,141.82
Fox_227.jpg,PASS,,375,500,2775.41,145.4
Fox_228.jpg,PASS,,375,500,2839.31,140.27
Fox_250.jpg,PASS,,500,375,8260.12,119.66
Fox_260.jpg,PASS,,500,375,1205.63,168.13
Fox_28.jpg,PASS,,375,500,6764.84,99.48
Fox_288.jpg,PASS,,500,375,2604.79,120.11
Fox_290.jpg,PASS,,500,375,5211.92,130.67
Fox_291.jpg,PASS,,500,375,4306.3,142.64
Fox_32.jpg,PASS,,500,375,890.64,175.32
Fox_38.jpg,PASS,,375,500,1434.31,119.73
Fox_39.jpg,PASS,,500,357,1539.88,114.32
Fox_47.jpg,PASS,,500,500,278.89,45.67
Fox_49.jpg,PASS,,375,500,3470.54,77.51
Fox_5.jpg,PASS,,500,375,2719.03,94.57
Fox_51.jpg,PASS,,375,500,2687.29,79.09
Fox_8.jpg,PASS,,233,500,3860.92,130.9
Fox_84.jpg,PASS,,500,281,4584.66,105.38
Fox_88.jpg,PASS,,375,500,543.33,151.04
Fox_89.jpg,PASS,,375,500,363.31,150.16
Fox_99.jpg,PASS,,281,500,6774.09,112.04
Lion_0.jpg,PASS,,500,375,4394.86,131.86
Lion_1.jpg,PASS,,500,333,785.6,112.86
Lion_10.jpg,PASS,,500,333,2448.26,45.02
Lion_11.jpg,PASS,,500,333,995.0,51.92
Lion_114.jpg,PASS,,281,500,3410.08,122.96
Lion_121.jpg,PASS,,500,347,1165.36,88.41
Lion_137.jpg,PASS,,281,500,5367.96,130.81
Lion_145.jpg,PASS,,375,500,11266.71,110.87
Lion_146.jpg,PASS,,375,500,12122.4,113.3
Lion_149.jpg,PASS,,375,500,2721.06,105.73
Lion_153.jpg,PASS,,500,333,795.96,42.15
Lion_156.jpg,PASS,,500,333,1895.26,50.93
Lion_169.jpg,PASS,,500,281,3836.88,96.6
Lion_174.jpg,PASS,,500,375,7129.0,126.93
Lion_177.jpg,PASS,,243,500,421.0,147.67
Lion_178.jpg,PASS,,375,500,5215.95,79.39
Lion_187.jpg,PASS,,281,500,3036.51,142.5
Lion_197.jpg,PASS,,500,375,1000.37,115.86
Lion_2.jpg,PASS,,333,500,1290.22,75.36
Lion_204.jpg,PASS,,500,333,729.39,67.79
Lion_234.jpg,PASS,,375,500,3819.69,132.86
Lion_239.jpg,PASS,,500,375,318.87,85.17
Lion_266.jpg,REVIEW_REQUIRED,Severely blurred,500,333,72.68,119.59
Lion_268.jpg,PASS,,281,500,3577.1,135.33
Lion_269.jpg,PASS,,375,500,731.64,134.87
Lion_273.jpg,PASS,,375,500,1184.22,103.09
Lion_277.jpg,PASS,,281,500,4308.79,141.93
Lion_32.jpg,PASS,,375,500,1392.7,131.79
Lion_4.jpg,PASS,,500,333,2658.94,59.29
Lion_5.jpg,PASS,,500,333,2857.55,51.38
Lion_58.jpg,PASS,,500,375,7471.14,107.28
Lion_65.jpg,PASS,,281,500,3541.72,103.78
Lion_73.jpg,PASS,,500,331,1290.71,152.97
Lion_8.jpg,PASS,,500,333,1972.69,72.23
Lion_81.jpg,PASS,,500,331,1033.18,127.53
Lion_85.jpg,PASS,,500,375,81.18,106.05
Lion_86.jpg,PASS,,375,500,4490.97,108.48
american_black_bear_103.jpg,PASS,,500,281,5921.39,117.72
american_black_bear_106.jpg,PASS,,500,281,1747.07,72.37
american_black_bear_120.jpg,PASS,,500,375,714.78,90.43
american_black_bear_127.jpg,PASS,,500,375,1117.14,98.97
american_black_bear_130.jpg,PASS,,500,333,3049.7,142.47
american_black_bear_137.jpg,PASS,,500,281,7320.99,68.88
